input,desc,type
accf_stage_a,Stage A,
accf_stage_b,Stage B,
accf_stage_c,Stage C,
accf_stage_d,Stage D,
nyha_class_1,NYHA Class I,
nyha_class_2,NYHA Class II,
nyha_class_3,NYHA Class III,
nyha_class_4,NYHA Class IV,
hf_with_improved_ef,Heart Failure with improved EF (HFimpEF),
mi_post_40_days,40 days post-MI,History
anemia,Anemia,
angioderma,Angioderma,History
arrhythmogenic_cardiomyopathy,Arrhythmogenic Cardiomyopathy,
atrial_fibrillation,Atrial Fibrillation,
cardiogenic_shock,Cardiogenic Shock,
cvd,Cardiovascular Disease,
central_sleep_apnea,Central sleep apnea,
obstructive_sleep_apnea,Obstructive sleep apnea,
congestion,Congestion,
congestive_symptoms,Congestive Symptoms,
decompensated_hf,Decompensated HF,
dependence_of_continuous_iv_inotropes,Dependent on continuous intravenous inotropes,
dependence_of_temporary_mcs,Dependent on temporary MCS,
threatend_end_organ_function,End-organ function cannot be maintained,
survival_year_greater_than_1,expectation of meaningful survival for >1 year,
fluid_overload,Fluid overload,
fluid_retention,Fluid Retention,
hemodynamic_compromise_and_shock,Hemodynamic compromise and shock,
high_risk_cvd,High Risk of Cardiovascular Disease,
hospitalized,Hospitalized,
hyperkalemia,Hyperkalemia,
hypertension,Hypertension,
hyponatremia,Hyponatremia,
hypotension,Hypotension,
iron_deficiency,Iron Deficiency,
ischemic_hf,Ischemic cause of Heart Failure,
ischemic_heart_disease,Ischemic Heart Disease,
lbbb,Left Bundle Branch Block (LBBB),
non_lbbb,Non-Left Bundle Branch Block (non-LBBB),
myocardial_infarction,Recent Myocardial Infarction (MI),History
nonischemic_dcm,Non-ischemic Dilated Cardiomyopathy,
does_not_respond_to_loop_diuretics,Patient doesn't respond to modearate or high-dose loop diuretics,
permanent_persistent_paroxysmal_af,Permanent-persistent-paroxysmal AF,
requires_ventricular_pacing,Requires ventricular pacing,
second_degree_av_block,Second-degree atrioventricular (AV) block,
third_degree_av_block,Third-degree atrioventricular (AV) block,
secondary_mr,Secondary Mitral Regurgitation,
sinus_rhythm,Sinus Rhythm,
sleep_disorder_breathing,Sleep-disordered breathing,
type_2_diabetes,Type 2 Diabetes,
valvular_hd,Valvular Heart Disease,
vte,Venous Thromboembolism [VTE],
attr_v,Variant transthyretin amyloidosis,
attr_wt,Wild-type transthyretin amyloidosis,
worsen_hf,Worsening of HF,
acei,Intolerant of ACEi,intolerant
arni,Intolerant of ARNi,intolerant
arb,Intolerant of ARB,intolerant
