No,Recommendations,COR,LOE,Stage,Rules,
1,"In patients with hypertension, blood pressure should be controlled in accordance with GDMT for hypertension to prevent symptomatic HF.",1,A,A,"recommendation(blood_pressure_control, 1):-
        evidence(accf_stage_a),
        diagnosis(hypertension).",
2,"In patients with type 2 diabetes and either established CVD or at high cardiovascular risk, SGLT2i should be used to prevent hospitalizations for HF.",1,A,A,"recommendation(sglt2i, 2):-
        evidence(accf_stage_a),
        diagnosis(type_2_diabetes),
        (evidence(cvd); evidence(high_risk_cvd)).",
3,"In the general population, healthy lifestyle habits such as regular physical activity, maintaining normal weight, healthy dietary patterns, and avoiding smoking are helpful to reduce future risk of HF.",1,B-NR,A,"recommendation(regular_physical_activity, 3):- evidence(accf_stage_a).
recommendation(normal_weight_control, 3):- evidence(accf_stage_a).
recommendation(healthy_diet, 3):- evidence(accf_stage_a).
recommendation(avoid_smoking, 3):- evidence(accf_stage_a).",
4,"For patients at risk of developing HF, natriuretic peptide biomarker–based screening followed by team-based care, including a cardiovascular specialist optimizing GDMT, can be useful to prevent the development of LV dysfunction (systolic or diastolic) or new-onset HF",2a,B-R,A,"recommendation(natriuretic_peptide_biomarker_screening, 4):- evidence(accf_stage_a).
recommendation(validated_multivariable_risk_score, 4):- evidence(accf_stage_a).
",
5,"In the general population, validated multivariable risk scores can be useful to estimate subsequent risk of incident HF.",2a,B-NR,A,"recommendation(validated_multivariable_risk_score, 5):- evidence(accf_stage_a).",
6,"In patients with LVEF ≤40%, ACEi should be used to prevent symptomatic HF and reduce mortality.",1,A,B,"recommendation(acei, 6):-
        evidence(accf_stage_b),
        measurement(lvef, X), X =< 0.4,
        \+ intolerant(acei).",
7,"In patients with a recent or remote history of MI or ACS, statins should be used to prevent symptomatic HF and adverse cardiovascular events.",1,A,B,"recommendation(statins, 7):- 
        evidence(accf_stage_b),
        (evidence(myocardial_infarction); evidence(acute_coronary_syndrome)).",
8,"In patients with a recent MI and LVEF ≤40% who are intolerant to ACEi, ARB should be used to prevent symptomatic HF and reduce mortality.",1,B-R,B,"recommendation(arb, 8):-
        evidence(accf_stage_b),
        evidence(myocardial_infarction), 
        measurement(lvef, X), X =< 0.4,
        intolerant(acei).",
9,"In patients with a recent or remote history of MI or acute coronary syndrome (ACS) and LVEF ≤40%, evidence-based beta blockers should be used to reduce mortality.",1,B-R,B,"recommendation(beta_blockers, 9):-
        evidence(accf_stage_b),
        measurement(lvef, X), X =< 0.4,
        (evidence(myocardial_infarction); evidence(acute_coronary_sindrome)).",
10,"In patients who are at least 40 days post-MI with LVEF ≤30% and NYHA class I symptoms while receiving GDMT and have reasonable expectation of meaningful survival for >1 year, an ICD is recommended for primary prevention of sudden cardiac death (SCD) to reduce total mortality.",1,B-R,B,"recommendation(icd_therapy, 10):-
        evidence(accf_stage_b),
        evidence(mi_post_40_days),
        measurement(lvef, X), X =< 0.3,
        evidence(nyha_class_1),
        evidence(survival_year_greater_than_1).",
11,"In patients with LVEF ≤40%, beta blockers should be used to prevent symptomatic HF.",1,C-LD,B,"recommendation(beta_blockers, 11):-
        evidence(accf_stage_b),
        measurement(lvef, X), X =< 0.4.",
12,"In patients with LVEF <50%, thiazolidinediones should not be used because they increase the risk of HF, including hospitalizations.",3: Harm,B-R,B,"contraindication(thiazolidinediones, 12):-
        evidence(accf_stage_b),
        measurement(lvef, X), X =< 0.5.
",
13,"In patients with LVEF <50%, nondihydropyridine calcium channel blockers with negative inotropic effects may be harmful.",3: Harm,C-LD,B,"contraindication(nondihydropyridine_ccb, 13):-
        evidence(accf_stage_b),
        measurement(lvef, X), X =< 0.5.
",
14,"Patients with HF should receive care from multidisciplinary teams to facilitate the implementation of GDMT, address potential barriers to self-care, reduce the risk of subsequent rehospitalization for HF, and improve survival.",1,A,C,"recommendation(multidisciplinary_teams_care, 14):- evidence(accf_stage_c).",Self-Care
15,Patients with HF should receive specific education and support to facilitate HF self-care in a multidisciplinary manner.,1,B-R,C,"recommendation(patient_education_and_support, 15):- evidence(accf_stage_c).",Self-Care
16,"In patients with HF, vaccinating against respiratory illnesses is reasonable to reduce mortality",2a,B-NR,C,"recommendation(respiratory_illnesses_vactination, 16):- evidence(accf_stage_c).",Self-Care
17,"In adults with HF, screening for depression,social isolation, frailty, and low health literacy as risk factors for poor self-care is reasonable to improve management.",2a,B-NR,C,"recommendation(depression_screening, 17):- evidence(accf_stage_c).",Self-Care
18,"For patients with stage C HF, avoiding excessive sodium intake is reasonable to reduce congestive symptoms",2a,C-LD,C,"recommendation(sodium_restriction, 18):- evidence(accf_stage_c).",Dietary Sodium Restriction
19,"For patients with HF who are able to participate, exercise training (or regular physical activity) is recommended to improve functional status, exercise performance, and QOL.",1,A,C,"recommendation(regular_pysical_activity, 19):- evidence(accf_stage_c).","Activity, Exercise Prescription, and Cardiac Rehabilitation"
20,"In patients with HF, a cardiac rehabilitation
program can be useful to improve functional
capacity, exercise tolerance, and health-related QOL.",2a,B-NR,C,"recommendation(cardiac_rehabilitation, 20):- evidence(accf_stage_c).","Activity, Exercise Prescription, and Cardiac Rehabilitation"
21,"In patients with HF who have fluid retention, diuretics are recommended to relieve congestion, improve symptoms, and prevent worsening HF.",1,B-NR,C,"recommendation(diuretics, 21):- 
        evidence(accf_stage_c),
        evidence(fluid_retention).
",Diuretics & Decongestion
22,"For patients with HF and congestive symptoms, addition of a thiazide (eg, metolazone) to treat- ment with a loop diuretic should be reserved for patients who do not respond to moderate- or high-dose loop diuretics to minimize electro- lyte abnormalities.",1,B-NR,C,"recommendation(thiazide, 22):-
        evidence(accf_stage_c),
        evidence(congestive_symptomps),
        evidence(does_not_respond_to_loop_diuretics).",Diuretics & Decongestion
23,"In patients with HFrEF and NYHA class II to III symptoms, the use of ARNi is recommended to reduce morbidity and mortality.",1,A,C,"recommendation(arni, 23):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        (evidence(nyha_class_2);evidence(nyha_class_3)),
        \+ infeasible(arni).",Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
24,"In patients with previous or current symptoms of chronic HFrEF, the use of ACEi is beneficial to reduce morbidity and mortality when the use of ARNi is not feasible.",1,A,C,"recommendation(acei, 24):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        (evidence(nyha_class_2);evidence(nyha_class_3)),
        infeasible(arni),
        \+ intolerant(acei).",Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
25,"In patients with previous or current symptoms
of chronic HFrEF who are intolerant to ACEi because of cough or angioedema and when the use of ARNi is not feasible, the use of ARB is rec- ommended to reduce morbidity and mortality",1,A,C,"recommendation(arb, 25):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        (evidence(nyha_class_2);evidence(nyha_class_3)),
        intolerant(acei),
        infeasible(arni).",Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
26,"In patients with previous or current symptoms of chronic HFrEF, in whom ARNi is not feasible, treatment with an ACEi or ARB provides high economic value.",Value Statement: High Value,A,C,-,Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
27,"In patients with chronic symptomatic HFrEF NYHA class II or III who tolerate an ACEi or ARB, replacement by an ARNi is recommended to further reduce morbidity and mortality.",1,B-R,C,"recommendation(arni, 27):-
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        (evidence(nyha_class_2);evidence(nyha_class_3)),
        \+ infeasible(arni),
        \+ intolerant(acei),
        \+ intolerant(arb).",Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
28,"In patients with chronic symptomatic HFrEF, treatment with an ARNi instead of an ACEi provides high economic value.",Value Statement: High Value,A,C,-,Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
29,ARNi should not be administered concomitantly with ACEi or within 36 hours of the last dose of an ACEi.,3: Harm,B-R,C,"contraindication(acei, 29):- 
        evidence(accf_stage_c),
        (recommendation(arni, 10); recommendation(arni, 14)).",Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
30,ARNi should not be administered to patients with any history of angioedema.,3: Harm,C-LD,C,"contraindication(arni, 30):- 
        evidence(accf_stage_c),
        evidence(angioderma).
",Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
31,ACEi should not be administered to patients with any history of angioedema.,3: Harm,C-LD,C,"contraindication(acei, 31):- 
        evidence(accf_stage_c),
        evidence(angioderma).
",Renin-Angiotensin System Inhibition With ACEi or ARB or ARNi
32,"In patients with HFrEF, with current or previous symptoms, use of 1 of the 3 beta blockers proven to reduce mortality (eg, bisoprolol, carvedilol, sustained-release metoprolol succinate) is recommended to reduce mortality and hospitalizations.",1,A,C,"recommendation(beta_blockers, 32):- 
        evidence(accf_stage_c), 
        evidence(hf_with_reduced_ef),
        (evidence(nyha_class_2);evidence(nyha_class_3)).
",Beta Blockers
33,"In patients with HFrEF, with current or previous symptoms, beta-blocker therapy provides high economic value.",Value Statement: High Value,A,C,-,Beta Blockers
34,"In patients with HFrEF and NYHA class II to IV symptoms, an MRA (spironolactone or eplerenone) is recommended to reduce morbidity and mortality, if eGFR is >30 mL/min/1.73 m2 and serum potassium is <5.0 mEq/L. Careful monitoring of potassium, renal function, and diuretic dosing should be performed at initiation and closely monitored thereafter to minimize risk of hyperkalemia and renal insufficiency.",1,A,C,"recommendation(mra, 34):-
        evidence(accf_stage_c),
        (evidence(nyha_class_2);evidence(nyha_class_3);evidence(nyha_class_4)),
        measurement(gfr, X), X > 30,
        measurement(potassium, Y), Y < 5.",Mineralocorticoid Receptor Antagonists (MRAs)
35,"In patients with HFrEF and NYHA class II to IV symptoms, MRA therapy provides high economic value.",Value Statement: High Value,A,C,-,Mineralocorticoid Receptor Antagonists (MRAs)
36,"In patients taking MRA whose serum potassium cannot be maintained at <5.5 mEq/L, MRA should be discontinued to avoid life- threatening hyperkalemia.",3: Harm,B-NR,C,"contraindication(mra_precaution, 36):-
        evidence(accf_stage_c),
        (evidence(nyha_class_2);evidence(nyha_class_3);evidence(nyha_class_4)),
        measurement(gfr, X), X > 30,
        measurement(potassium, Y), Y < 5.",Mineralocorticoid Receptor Antagonists (MRAs)
37,"In patients with symptomatic chronic HFrEF, SGLT2i are recommended to reduce hospital- ization for HF and cardiovascular mortality, irre- spective of the presence of type 2 diabetes.",1,A,C,"recommendation(sglt2i, 37):- 
        evidence(accf_stage_c),
        evidence(hf_with_reduced_ef),
        (evidence(nyha_class_2);evidence(nyha_class_3)).",Sodium-Glucose Cotransporter 2 Inhibitors
38,"In patients with symptomatic chronic HFrEF, SGLT2i therapy provides intermediate eco- nomic value.",Value Statement: Intermediate Value,A,C,-,Sodium-Glucose Cotransporter 2 Inhibitors
39,"For patients self-identified as African American with NYHA class III-IV HFrEF who are receiving optimal medical therapy, the combination of hydralazine and isosorbide dinitrate is recommended to improve symptoms and reduce morbidity and mortality.",1,A,C,Kurang relevan untuk kasus Indonesia,Hydralazine and Isosorbide Dinitrate
40,"For patients self-identified as African American with NYHA class III to IV HFrEF who are receiving optimal medical therapy with ACEi or ARB, beta blockers, and MRA, the combination of hydralazine and isosorbide dinitrate provides high economic value.",Value Statement: High Value,B-NR,C,Kurang relevan untuk kasus Indonesia,Hydralazine and Isosorbide Dinitrate
41,"In patients with current or previous symptomatic HFrEF who cannot be given first-line agents, such as ARNi, ACEi, or ARB, because of drug intolerance or renal insufficiency, a combination of hydralazine and isosorbide dinitrate might be considered to reduce morbidity and mortality.",2b,C-LD,C,Kurang relevan untuk kasus Indonesia,Hydralazine and Isosorbide Dinitrate
42,"In patients with HF class II to IV symptoms, omega-3 polyunsaturated fatty acid (PUFA) supplementation may be reasonable to use as adjunctive therapy to reduce mortality and cardiovascular hospitalizations.",2b,B-R,C,"recommendation(pufa, 42):-
        evidence(accf_stage_c),
        (evidence(nyha_class_2);evidence(nyha_class_3);evidence(nyha_class_4)).
",Other Drug Treatment
43,"In patients with HF who experience hyperkalemia (serum potassium level ≥5.5 mEq/L) while taking a renin-angiotensin-aldosterone system inhibitor (RAASi), the effectiveness of potassium binders (patiromer, sodium zirconium cyclosilicate) to improve outcomes by facilitating continuation of RAASi therapy is uncertain.",2b,B-R,C,"recommendation(potassium_binder, 43):-
        evidence(accf_stage_c),
        (evidence(hyperkalemia);measurement(potassium, X), X >= 5.5).",Other Drug Treatment
