input,desc,type
hypertension,Hypertension,
type_2_diabetes,Type 2 Diabetes,
cvd,Cardiovascular Disease,
high_risk_cvd,High Risk of Cardiovascular Disease,
myocardial_infarction,Myocardial Infarction (MI),History
acute_coronary_syndrome,Acute Coronary Syndrome (ACS),History
mi_post_40_days,40 days post-MI,History
survival_year_greater_than_1,expectation of meaningful survival for >1 year,
fluid_retention,Fluid Retention,
congestive_symptoms,Congestive Symptoms,
does_not_respond_to_loop_diuretics,Patient doesn't respond to modearate or high-dose loop diuretics,
hf_with_reduced_ef,Heart Failure with reduced EF (HFrEF),
angioderma,Angioderma,History
hyperkalemia,Hyperkalemia,
vte,Venous Thromboembolism [VTE],
atrial_fibrillation,Atrial Fibrillation,
sinus_rhythm,Sinus Rhythm,
worsen_hf,Worsening of HF,
nonischemic_dcm,Non-ischemic Dilated Cardiomyopathy,
ischemic_heart_disease,Ischemic Heart Disease,
lbbb,Left Bundle Branch Block (LBBB),
non_lbbb,Non-Left Bundle Branch Block (non-LBBB),
second_degree_av_block,Second-degree atrioventricular (AV) block,
third_degree_av_block,Third-degree atrioventricular (AV) block,
requires_ventricular_pacing,Requires ventricular pacing,
arrhythmogenic_cardiomyopathy,Arrhythmogenic Cardiomyopathy,
ischemic_hf,Ischemic cause of Heart Failure,
valvular_hd,Valvular Heart Disease,
secondary_mr,Secondary Mitral Regurgitation,
hf_with_mildly_reduced_ef,Heart Failure with mildly reduce EF (HFmrEF),
hf_with_improved_ef,Heart Failure with improved EF (HFimpEF),
hf_with_preserved_ef,Heart Failure with preserved EF (HFpEF),
attr_wt,Wild-type transthyretin amyloidosis,
attr_v,Variant transthyretin amyloidosis,
hyponatremia,Hyponatremia,
dependence_of_continuous_iv_inotropes,Dependent on continuous intravenous inotropes,
dependence_of_temporary_mcs,Dependent on temporary MCS,
hemodynamic_compromise_and_shock,Hemodynamic compromise and shock,
hospitalized,Hospitalized,
fluid_overload,Fluid overload,
congestion,Congestion,
decompensated_hf,Decompensated HF,
hypotension,Hypotension,
cardiogenic_shock,Cardiogenic Shock,
threatend_end_organ_function,End-organ function cannot be maintained,
iron_deficiency,Iron Deficiency,
anemia,Anemia,
sleep_disorder_breathing,Sleep-disordered breathing,
obstructive_sleep_apnea,Obstructive sleep apnea,
central_sleep_apnea,Central sleep apnea,
permanent_persistent_paroxysmal_af,Permanent-persistent-paroxysmal AF,
accf_stage_a,Stage A,
accf_stage_b,Stage B,
accf_stage_c,Stage C,
accf_stage_d,Stage D,
nyha_class_1,NYHA Class I,
nyha_class_2,NYHA Class II,
nyha_class_3,NYHA Class III,
nyha_class_4,NYHA Class IV,
